respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.35591377465903073,0.3421390160522577
26708,0.37670737787533654,0.29534315133055855
26709,0.3008643155336623,0.6730031673579374
26710,0.4697159164644256,0.4294955087942862
26711,0.15617342960251043,0.732088789764602
26712,0.06879586111998895,0.37685808502149465
26713,0.22785609520745845,0.7391310090234632
26714,0.0662708359191634,0.46322478154430646
26715,0.06643481561845863,0.17260887253077062
26716,0.3521914316423651,0.5278122548834534
26717,0.08363258552469888,0.5521714539316939
26718,0.26581130377224754,0.32055062157061126
26719,0.03629679976347155,0.7205261709266118
26720,0.35710181379151335,0.5181733297020406
26721,0.2816611327625291,0.10025139324867827
26722,0.1311817433341284,0.7257012845439105
26723,0.48158255521656124,0.7226062157588892
26724,0.30897717991065426,0.6364464480582706
26725,0.09407984790870386,0.5823585468342364
26726,0.16876654927154877,0.27592782827372864
26727,0.24492713990661374,0.4682528607795395
26728,0.1311817433341284,0.505368201339378
26729,0.11984046910946713,0.17116339298080926
26730,0.20353018638236983,0.03955193129016759
26731,0.27626585681617144,0.24443019527008095
26732,0.2437553800134021,0.8036986869792551
26733,0.12028147472699664,0.8585713962886415
26734,0.5632276179807091,0.37598876686159516
26735,0.2737123474664434,0.4584927675753708
26736,0.6365753593212163,0.2428108186054438
26737,0.21502089063752203,0.0702548343879721
26738,0.5219883237635542,0.46789977181767306
26739,0.06624932227137126,0.279328443764808
26740,0.1847526184218878,0.030462663427541566
26741,0.047778118695537136,0.31039549785557313
26742,0.1595169929836852,0.5124033728027917
26743,0.3508457158177322,0.4471547345728473
26744,0.31343008627485525,0.45271920152965256
26745,0.16009043401868608,0.538719297207149
26746,0.19156948920746214,0.4845583184699319
26747,0.08672487345564449,0.13974275470321862
26748,0.29082038470634897,0.08176572937727535
26749,0.06990689998166802,0.4910564086712835
26750,0.564711077368073,0.4629224574151572
26751,0.05897469886195369,0.8086832881511324
26752,0.1902567725587066,0.3227308076544679
26753,0.29018507870651944,0.3869232576477201
26754,0.02928752368157155,0.5130731677253165
26755,0.437058647817652,0.7213650880683684
26756,0.21931755050010002,0.12621627580368378
26757,0.5397038686936649,0.6224416763758681
26758,0.29267146941196526,0.8315230603563326
26759,0.08363258552469888,0.17260887253077062
26760,0.35000826144896646,0.05807455929517454
26761,0.5937730547877215,0.7241450552585379
26762,0.19273641083825518,0.25571889567446315
26763,0.3429367871552085,0.3783429966109506
26764,0.48821861799885863,0.5248973790503592
26765,0.11879976266049369,0.40674543727747875
26766,0.35710181379151335,0.4462717472713498
26767,0.18805264555843468,0.16830743061019898
26768,0.05970529939230597,0.13356862625990776
26769,0.09720086853955916,0.30495315611760027
26770,0.03731832808818846,0.632311565033422
26771,0.2938469457423957,0.26273422348098535
26772,0.4547058703642321,0.2756302820063934
26773,0.12270333295073642,0.42360000655995855
26774,0.03880508167828128,0.3661043234089238
26775,0.06369748182881492,0.23446521012421617
26776,0.2149342099032698,0.220375434484189
26777,0.17425157463728255,0.3612168501598338
26778,0.19277412436483363,0.24337596010313042
26779,0.24492713990661374,0.5458284562204203
26780,0.1508327900672462,0.35649177510760943
26781,0.1311817433341284,0.770554411376766
26782,0.28118973396036584,0.4458585324800072
26783,0.06653844220331058,0.17260887253077062
26784,0.23973825580577024,0.5636753443186078
26785,0.13526424006017035,0.28170320867937604
26786,0.21547347876209283,0.5715442015242737
26787,0.12546682989493843,0.2564161387266886
26788,0.03629679976347155,0.6080026239751085
26789,0.05188005292598305,0.3241594974341393
26790,0.08493069365508012,0.7257012845439105
26791,0.1837477538546501,0.8540234212402874
26792,0.16519562747770308,0.2759717392283604
26793,0.09300813656644781,0.4998936225575608
26794,0.4441407242600003,0.17706135789056143
26795,0.020573380066851735,0.4032468609305663
26796,0.13596835349711658,0.21195582750699354
26797,0.08908052749995207,0.668609378999169
26798,0.10548753902044984,0.7913371141010809
26799,0.29203406848118013,0.6247803488505244
26800,0.18402333518319444,0.4866001212269822
26801,0.25482312187694933,0.32829593909971894
26802,0.1271034640437988,0.1564947548168887
26803,0.08954889750950866,0.32962761957131503
26804,0.33294202737910783,0.08697732297994788
26805,0.06409090670100717,0.28346034135303716
26806,0.040018075430622004,0.5671068765092555
26807,0.34762482291549623,0.4614901031743063
26808,0.17151672623164715,0.16425210788855046
26809,0.23357171750136038,0.38290362409244066
26810,0.34156809362783364,0.12439574255285751
26811,0.15617342960251043,0.45322542755564815
26812,0.33733676247612887,0.47855267194777756
26813,0.6045257700303022,0.588408019763385
26814,0.06643481561845863,0.5521714539316939
26815,0.08350471817418416,0.15435895257775342
26816,0.17838657486779852,0.206671375398726
26817,0.15617342960251043,0.35567898731820374
26818,0.20484824029208393,0.43443183225200854
26819,0.11620680171757285,0.39282118751309575
26820,0.35710181379151335,0.37043464124351194
26821,0.05250466546939331,0.5585940786962446
26822,0.1062122862951014,0.29235570304180414
26823,0.32042943370849175,0.9348120586830913
26824,0.10161143512760301,0.6513785288628139
26825,0.12579176820228524,0.6744032746115419
26826,0.29018507870651944,0.3296226529977211
26827,0.1632789870862212,0.44920522021944054
26828,0.5137673780326493,0.10199937352845516
26829,0.41793253145187725,0.7334697318014688
26830,0.12579176820228524,0.7076301857689132
26831,0.08363258552469888,0.6757051552868081
26832,0.05865593948585999,0.7545038704048125
26833,0.2400641557868592,0.034418642779162935
26834,0.22313944508109543,0.4152303990673988
26835,0.12028147472699664,0.4597077817628541
26836,0.19027584379480603,0.7671779540053639
26837,0.0844738484548685,0.27809315033287735
26838,0.35710181379151335,0.5876269059533727
26839,0.19927324406420113,0.7761443681188716
26840,0.2091028560791461,0.09784456551538065
26841,0.18982558980653352,0.3507763555876158
26842,0.24317288180836039,0.5077087796162879
26843,0.0820784930772568,0.0820784930772568
26844,0.49562100662428776,0.20438044158489277
26845,0.1508327900672462,0.5273282666463759
26846,0.03823438838499339,0.3324325279335978
26847,0.5137673780326493,0.3718489921149313
26848,0.21672947080182461,0.5458284562204203
26849,0.24665284426857795,0.2685366041714322
26850,0.5172174565618269,0.4871771695146298
26851,0.08068302619298076,0.37023401803064687
26852,0.22690270535129978,0.41593105187323726
26853,0.11210503136109246,0.11025222422115072
26854,0.2743415620524452,0.4592781452560712
26855,0.1672025577247646,0.36204518259806134
26856,0.24122590606527206,0.1353885573908126
26857,0.18970911026187698,0.387971685705086
26858,0.07790320167238039,0.7653126665368761
26859,0.10840278561465468,0.35374118506745855
26860,0.42338092597567323,0.47441245414438193
26861,0.1432797723140089,0.3871355642736659
26862,0.19156948920746214,0.42153985837889074
26863,0.2673201292195067,0.3242258185610531
26864,0.5010981951874012,0.07339563784525072
26865,0.09407984790870386,0.7246850564007475
26866,0.4832151827062298,0.5200195291255567
26867,0.14624581514889518,0.41307117116888437
26868,0.34762482291549623,0.375425777251708
26869,0.2946375606539508,0.2950695948162729
26870,0.12028147472699664,0.7245775815319191
26871,0.2750581205001954,0.17025657724184043
26872,0.03577005530176643,0.4991876803952741
26873,0.06642840013355729,0.49559656952594394
26874,0.29018507870651944,0.24870212742240982
26875,0.315107977966968,0.24570967292163406
26876,0.10548753902044984,0.4445431905007063
26877,0.11184625861859421,0.2916547464861301
26878,0.4840366416681228,0.055581845029795095
26879,0.10207265639175393,0.17240161135433865
26880,0.21285798359502137,0.5404926655283058
26881,0.1814976206473856,0.1571322183206412
26882,0.06643481561845863,0.3180888365599615
26883,0.16391747510118623,0.039382737913401626
